id,is_trusted_contributor,creator
1558199,false,christ1
1558282,true,platform34
1558315,false,pebbleridge13
1558919,true,platform34
1559960,true,platform34
1560195,true,platform34
1560232,true,platform34
1560339,true,platform34
1560357,true,platform34
1560462,true,platform34
1560576,true,platform34
1560749,true,platform34
1560796,true,platform34
1560957,true,platform34
1561314,true,platform34
1561677,true,platform34
1562186,true,platform34
1562368,true,platform34
1562382,false,christ1
1562489,true,platform34
1562748,true,platform34
1562832,true,platform34
1563236,true,platform34
