id,is_trusted_contributor,creator
1552011,true,platform34
1552157,false,James
1552338,true,platform34
1552828,true,platform34
1553079,true,platform34
1553403,true,platform34
1553819,true,Yu5tiqX9og
1553821,true,platform34
1553989,true,platform34
1554517,true,platform34
1554559,true,platform34
1555576,true,platform34
1555844,true,Yu5tiqX9og
1556156,true,platform34
1556230,true,platform34
1556506,false,MattAuSupport
1556597,true,platform34
1556860,true,platform34
1557342,true,platform34
1557379,true,platform34
1557398,true,platform34
1557571,true,platform34
